Company Name,Symbol,ISIN Code,Macro Sector,Sector,Industry,Basic Industry,Category,Justification
Veegaland Developers Ltd,VEEGALANDBE,INE1JTV01015,Real Estate,Construction,Realty,"Residential, Commercial Projects",Green,Residential property developer focused on apartments across Kerala. Pure residential development and sale is animal-neutral and has no animal-derived product line. (The Economic Times)
Manika Plastech Ltd,MANIKA,INE0KWF01020,Consumer Discretionary,Consumer Durables,Consumer Products,Plastic Products,Green,"Manufactures rigid polymer packaging, films, containers, battery casings and other plastic products from petrochemical polymers. No animal-derived input; the industries purchasing the packaging are not counted. (The Economic Times)"
Jindal Supreme (India) Ltd,JSIPLEQ,INE1DLO01028,Industrials,Capital Goods,Industrial Products,Pipes & Tubes,Green,"Manufactures steel pipes, tubes, crash barriers and GI tubular poles for infrastructure and industrial applications. Steel and steel-product manufacturing involves inorganic materials with no animal-derived input. (NSE India)"
National Stock Exchange of India Ltd — NSE,NSE,INE721I01024,Financial Services,Financial Services,Capital Markets,Other Capital Market Services,Green,"Operates a securities exchange and provides neutral market infrastructure through trading and market-related services. It does not lend or invest its own capital into industries, so exposure to businesses using the exchange is not counted. (NSE India)"
Apana Logistics Ltd,APANA,INE1ET101019,Industrials,Services,Transport Services,Logistics Solutions,Green,"Provides container handling, road transportation, third-party warehouse cargo handling and equipment maintenance. Moving third-party cargo is a logistics/carriage service rather than provision of animal goods. (The Economic Times)"
Amtech Esters Ltd,AMTECH,INE0RMA01019,Chemicals,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,Green,"Manufactures unsaturated polyester resins and trades complementary synthetic resin products, hardeners and silicones. Petrochemical-based synthetic resin chemistry has no animal-derived input or animal-industry product line. (NoticeBlue)"
Infrax Renewable Ltd,INFRAX,INE1YC401018,Utilities,Power,Power,Renewable Energy,Green,"Provides rooftop and ground-mounted solar EPC, distributes solar modules and inverters, and operates a solar power plant. Renewable-energy equipment and solar power generation are animal-neutral. (NoticeBlue)"
Vinod Texworld Ltd,VINOD,INE1A5U01014,Consumer Discretionary,Textiles,Textiles,Other Textile Products,Green,"Processes and manufactures cotton, polyester and blended fabrics through dyeing and printing. No wool, silk or leather product line is identified. (Business Standard)"
Maharaja & Speedex India Ltd,SPEEDEX,INE0SVD01012,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware,Green,Manufactures and distributes stainless-steel bottles and allied drinkware. Stainless-steel houseware is animal-neutral and has no animal-derived input. (NoticeBlue)
Om Galaxy Ltd,OMG,INE2D0Q01027,Industrials,Capital Goods,Industrial Products,Industrial Products,Green,"Designs and manufactures precision moulds for pipe fittings, industrial and automotive applications and produces synthetic cleaning products such as mops, brushes and wipers. No animal-derived materials or animal-linked product line identified. (NoticeBlue)"
Panchatv Bharat Ltd,PANCHATV,INE0VXN01011,Consumer Discretionary,Textiles,Textiles,Other Textile Products,Green,"Manufactures, wholesales and distributes denim fabric made from cotton. No wool, silk or leather product line is identified. (NoticeBlue)"
Raksan Transformers Ltd,RAKSAN,INE1S7M01017,Industrials,Capital Goods,Electrical Equipment,Transformers,Green,"Manufactures distribution, power, solar-application and special-purpose transformers. The electrical equipment uses steel, copper, insulation and mineral oil, with no animal-derived input. (Exchange Circulars)"
Injecto Polymers Ltd,INJECTO,INE1JJF01019,Consumer Discretionary,Consumer Durables,Consumer Products,Plastic Products,Green,"Manufactures PP, HDPE, BOPP, FIBC and Leno bags, pouches and yarn from petrochemical polymers. No animal-derived input; industries purchasing the packaging are not counted. (NoticeBlue)"
Century Business Media Ltd,CENTURYOOH,INE16VF01010,Communication Services,"Media, Entertainment & Publication",Media,Advertising,Green,"Provides out-of-home advertising across airports, railway stations, metro systems and city-media formats. Advertising and media services are animal-neutral; clients from different industries are not counted as animal linkage. (Exchange Circulars)"
Quanto Agroworld Ltd,,INE0OAB01019,Consumer Staples,Agricultural Products,Agricultural Products,Other Agricultural Products,Green,"Undertakes chemical-free cultivation of aromatic crops and steam-distillation of plant-based essential oils. The business is plant-based and has no dairy, meat, leather or insecticide product line. (The Economic Times)"
Axiom Gas Engineering Ltd,AXIOMGAS,INE16J201028,Utilities,Gas,Gas,Gas Distribution,Green,Distributes and retails Auto LPG through dispensing stations with associated storage and transport infrastructure. Fuel-gas distribution is an inorganic utility service with no animal-derived product. (Trade Ganpati)
